 -422.57 -587.46 -683.70 -841.30 -595.51 -546.17 -549.91 -943.54-1023.99 -904.93
 -420.14 -491.83 -474.16 -483.28 -484.71 -229.17 -129.64 -176.46  -40.50   15.53
   18.93   53.45   61.44   70.80   88.61  109.46  149.52  284.89  440.07  552.01
  706.38 1005.86 1250.77 1417.17 1573.09 1698.57 1807.75 1850.05 1866.72 1866.99
 1860.49 1839.34 1802.24 1743.57 1747.99 1848.01 2003.15 2051.61 2033.73 1955.35
 1857.20 1959.50 2002.30 1979.23 1945.03 1944.37 1984.35 2003.25 1971.56 1888.35
 1768.47 1577.07 1330.92 1161.40 1087.25 1135.03 1332.50 1444.68 1450.15 1442.36
 1405.50 1269.98 1142.43 1069.02  972.77  855.04  769.48  733.22  760.90  780.93
  788.78  771.71  776.85  808.12  836.24  862.26  935.49 1043.60 1206.72 1329.64
 1408.52 1525.17 1699.71 1862.29 1886.43 1816.15 1858.60 2050.18 2346.69 2573.75
 2740.17 2809.67 2853.50 2945.41 3059.79 3144.35 3200.62 3239.77 3265.55 3275.64
 3270.60 3254.84 3234.55 3215.58 3201.29 3191.37 3182.96 3173.61 3161.08 3146.44
 3128.80 3102.97 3071.42 3041.30 3017.10 3004.58 3001.01 2999.44 2999.61 3000.60
 3004.01 3008.08 3011.68 3014.41 3015.77 3015.88 3014.74 3011.93 3007.75 3002.96
 2999.85 2996.59 2993.49 2990.55 2989.00 2988.02 2989.00 2990.51 2992.84 2995.22
 2999.33 3003.29 3007.74 3012.30 3017.52 3023.74 3029.40 3035.40 3041.40 3046.83
 3051.02 3054.17 3055.24 3055.57 3053.62 3051.03 3047.61 3043.61 3038.61 3034.62
 3031.30 3028.52 3027.68 3027.36 3028.67 3030.59 3033.04 3033.83 3032.50 3028.07
 3021.37 3015.83 3013.00 3013.00 3009.42 3002.55 2994.29 2986.20 2981.83 2976.45
 2953.30 2921.95 2874.68 2778.41 2545.07 2391.30 2261.48 2144.51 1980.63 1855.91
 1651.42 1418.33 1366.90 1428.89 1491.09 1496.34 1474.37 1426.32 1382.71 1339.34
 1298.75 1272.49 1228.19 1134.66 1006.04  984.47 1036.78 1170.37 1328.27 1497.83
 1696.38 1909.72 2035.52 2091.04 2114.43 2119.95 2115.14 2101.54 2078.67 2047.00
 2022.65 2003.05 1984.68 1966.66 1948.84 1893.86 1803.10 1771.64 1774.33 1700.19
 1526.45 1387.93 1230.50 1037.65  898.35  825.78  762.65  673.60  606.21  568.53
  511.74  425.69  391.85  405.37  409.99  411.84  409.26  400.46  402.94  403.51
  400.68  378.94  350.60  328.85  315.02  327.72  355.65  362.07  351.90  364.16
  415.04  463.20  497.06  525.39  509.34  557.61  620.35  686.08  768.24  903.66
  913.31  838.07  861.83  916.59  868.53  826.53  817.59  763.53  624.19  527.38
  650.07  724.07  735.51  793.42  959.86 1220.49 1483.07 1667.47 1794.47 1952.65
 2088.64 2248.33 2389.68 2493.36 2603.36 2646.39 2661.33 2651.55 2632.59 2625.68
 2633.41 2635.97 2632.59 2626.45 2620.45 2617.60 2619.00 2621.59 2622.95 2626.84
 2629.09 2623.80 2617.14 2610.79 2605.60 2601.11 2603.49 2598.49 2586.76 2564.37
 2543.45 2518.32 2509.55 2492.45 2467.96 2441.18 2415.86 2404.79 2385.71 2374.51
 2373.62 2472.41 2526.65 2454.90 2518.27 2582.65 2591.48 2523.64 2413.26 2394.97
 2403.37 2422.71 2441.85 2456.27 2470.69 2487.55 2505.36 2513.74 2511.36 2531.70
 2545.50 2538.41 2535.14 2548.77 2551.00 2559.91 2553.48 2533.97 2511.20 2527.85
 2465.12 2347.22 2322.50 2337.94 2331.22 2286.28 2213.76 2120.87 2105.62 2152.75
 2221.27 2222.74 2202.11 2172.29 2139.67 2067.00 1910.83 1637.62 1565.54 1357.92
 1108.56  862.87  620.04  515.64  794.02  804.70  758.51  683.71  828.68  892.43
  817.76  693.38  570.22  448.96  356.90  464.32  585.22  595.51  670.12  734.06
  788.58  725.59  730.96  740.18  769.04  859.52  846.96  874.15  860.07  855.75
  856.80  850.53  836.60  778.71  729.09  568.21  297.19  130.93  111.49  135.47
  222.96  416.80  469.57  440.00  454.58  413.05  330.71  177.78  100.08   78.99
   61.96   41.72   19.67   -1.36   -6.37  -10.71  -72.99 -141.97 -301.82 -367.57
 -151.17 -149.56 -160.09 -166.73 -192.41 -115.74 -278.28 -159.48  -56.11  -28.80
  -31.63  -32.64  -48.44  -81.87 -360.55 -493.76 -611.85 -429.39 -345.83 -316.64
 -452.77 -487.51 -603.86 -404.06 -412.81 -628.08 -662.37 -242.77 -173.38 -130.23
 -104.16  -92.43  -68.03  -83.30 -120.46 -139.40 -102.87 -179.84 -415.25 -310.47
 -231.90 -473.62 -403.55 -654.90 -914.20 -599.22 -684.28 -411.76 -341.38 -355.87
 -598.41 -750.59 -590.31 -527.49 -415.78 -353.80 -495.52 -403.00 -239.58 -141.37
  -28.27  -93.90  -95.98   84.24  102.32  122.93  144.83  160.69  200.56  255.49
  319.88  377.09  447.75  530.64  610.32  705.53  807.12  850.48  903.08  968.58
  996.50 1051.56 1178.27 1258.37 1304.81 1348.27 1386.19 1428.04 1483.93 1550.95
 1591.47 1624.60 1670.39 1705.24 1740.46 1782.56 1832.04 1871.41 1904.34 1901.72
 1916.57 1928.56 1948.12 1934.53 1927.95 1946.44 1939.93 1989.69 2011.26 2056.63
 2113.39 2170.51 2253.14 2376.96 2496.36 2604.23 2723.14 2832.96 2915.31 2976.47
 3020.87 3077.67 3139.89 3273.25 3429.20 3639.28 3924.22 4359.85 4794.35 4829.01
 4791.90 4747.99 4839.09 4901.89 4815.43 4915.44 5197.75 5547.37 5716.77 6393.39
 7115.51 7434.14 7464.09 7473.50 7305.29 6945.01 6916.09 6872.17 6863.15 6730.47
 -549.56 -529.08 -709.53 -854.45 -674.96 -588.35 -648.83 -654.62 -898.25 -903.23
 -697.29 -765.02 -791.70 -700.98 -286.56 -600.40 -256.93 -237.32 -116.29    4.94
   25.13   41.93   52.05   63.01   81.22  102.00  141.14  206.72  338.12  483.39
  684.10 1056.77 1294.94 1449.66 1605.04 1719.64 1807.80 1864.41 1899.52 1911.22
 1903.53 1886.53 1870.94 1868.49 1897.41 1974.87 2029.97 2038.92 2015.37 1968.60
 1950.86 1996.10 1999.52 1989.21 1960.01 1943.25 1955.11 1993.31 1987.22 1912.99
 1829.23 1660.59 1437.48 1285.57 1225.36 1323.90 1421.86 1431.00 1415.00 1390.10
 1251.05 1059.15  959.89  941.21  823.35  754.80  728.23  711.95  742.14  795.77
  882.82  777.14  767.15  828.27  960.42 1039.38 1111.43 1200.72 1295.20 1380.78
 1475.17 1623.40 1858.90 2120.36 2184.90 2108.80 2079.85 2158.29 2379.39 2618.34
 2866.59 3002.14 3023.42 3068.97 3128.36 3180.42 3221.40 3253.22 3276.13 3289.23
